region,dong,gubun,voters,votes,A,B,c1,c2,c3
순천시,조곡동,관내사전투표,1325,1325,1044,162,46,23,13
순천시,조곡동,선거일투표,4165,2185,1555,428,79,36,37
순천시,덕연동,계,29868,18055,14312,2413,481,325,217
순천시,덕연동,관내사전투표,5296,5294,4450,519,126,91,44
순천시,덕연동,선거일투표,24572,12761,9862,1894,355,234,173
순천시,풍덕동,계,5982,3844,2874,682,75,62,42
순천시,풍덕동,관내사전투표,1852,1852,1484,257,30,24,15
순천시,풍덕동,선거일투표,4130,1992,1390,425,45,38,27
순천시,남제동,계,5783,3325,2572,506,76,44,45
순천시,남제동,관내사전투표,1600,1599,1282,213,32,23,23
순천시,남제동,선거일투표,4183,1726,1290,293,44,21,22
순천시,저전동,계,2196,1469,1098,264,32,16,21
순천시,저전동,관내사전투표,892,892,695,136,16,13,9
순천시,저전동,선거일투표,1304,577,403,128,16,3,12
순천시,장천동,계,1453,818,595,146,22,15,12
순천시,장천동,관내사전투표,453,453,325,89,12,9,5
순천시,장천동,선거일투표,1000,365,270,57,10,6,7
순천시,중앙동,계,2297,1499,1130,245,35,16,34
순천시,중앙동,관내사전투표,963,963,747,128,24,13,25
순천시,중앙동,선거일투표,1334,536,383,117,11,3,9
순천시,도사동,계,12250,7832,6010,1176,253,120,102
순천시,도사동,관내사전투표,3413,3411,2741,432,102,45,42
순천시,도사동,선거일투표,8837,4421,3269,744,151,75,60
순천시,왕조1동,계,33635,19183,14676,3131,440,321,280
순천시,왕조1동,관내사전투표,6508,6505,5380,729,138,84,83
순천시,왕조1동,선거일투표,27127,12678,9296,2402,302,237,197
순천시,왕조2동,계,12905,7973,6350,1029,224,155,110
순천시,왕조2동,관내사전투표,4043,4041,3396,377,114,67,46
순천시,왕조2동,선거일투표,8862,3932,2954,652,110,88,64
순천시,잘못 투입·구분된 투표지,,0,17,12,1,1,0,1
나주시,남평읍,계,9173,5293,4203,458,194,209,65
나주시,남평읍,관내사전투표,3010,3009,2477,192,103,107,32
나주시,남평읍,선거일투표,6163,2284,1726,266,91,102,33
나주시,세지면,계,2017,1236,975,107,45,42,17
나주시,세지면,관내사전투표,875,875,710,56,35,25,11
나주시,세지면,선거일투표,1142,361,265,51,10,17,6
나주시,왕곡면,계,2068,1343,1042,119,53,44,23
나주시,왕곡면,관내사전투표,768,767,603,57,26,24,9
나주시,왕곡면,선거일투표,1300,576,439,62,27,20,14
나주시,반남면,계,1051,696,572,50,14,25,6
나주시,반남면,관내사전투표,433,433,362,31,8,15,2
나주시,반남면,선거일투표,618,263,210,19,6,10,4
나주시,공산면,계,1742,1140,922,67,51,43,15
나주시,공산면,관내사전투표,727,727,597,35,31,29,7
나주시,공산면,선거일투표,1015,413,325,32,20,14,8
나주시,동강면,계,1885,1125,895,82,39,40,20
나주시,동강면,관내사전투표,712,712,582,36,19,28,12
나주시,동강면,선거일투표,1173,413,313,46,20,12,8
나주시,다시면,계,2841,1973,1471,156,49,104,41
나주시,다시면,관내사전투표,1423,1423,1089,85,31,69,31
나주시,다시면,선거일투표,1418,550,382,71,18,35,10
나주시,문평면,계,1316,827,613,68,31,53,22
나주시,문평면,관내사전투표,549,549,424,38,19,32,14
나주시,문평면,선거일투표,767,278,189,30,12,21,8
나주시,노안면,계,3388,2033,1501,141,188,72,34
나주시,노안면,관내사전투표,1082,1082,820,59,102,36,18
나주시,노안면,선거일투표,2306,951,681,82,86,36,16
나주시,금천면,계,5044,2735,2149,266,103,84,48
나주시,금천면,관내사전투표,1526,1525,1251,94,51,52,23
나주시,금천면,선거일투표,3518,1210,898,172,52,32,25
나주시,산포면,계,2528,1561,1225,100,69,57,36
나주시,산포면,관내사전투표,886,886,690,60,32,35,23
나주시,산포면,선거일투표,1642,675,535,40,37,22,13
나주시,다도면,계,1450,952,679,68,35,40,20
나주시,다도면,관내사전투표,659,659,469,48,24,20,13
나주시,다도면,선거일투표,791,293,210,20,11,20,7
나주시,봉황면,계,2987,1670,1337,113,70,48,31
나주시,봉황면,관내사전투표,974,974,784,50,43,29,21
나주시,봉황면,선거일투표,2013,696,553,63,27,19,10
나주시,송월동,계,8221,4322,3264,521,202,125,92
나주시,송월동,관내사전투표,1903,1903,1516,175,96,52,32
나주시,송월동,선거일투표,6318,2419,1748,346,106,73,60
나주시,영강동,계,2091,1150,880,106,36,43,35
나주시,영강동,관내사전투표,718,718,568,45,20,33,15
나주시,영강동,선거일투표,1373,432,312,61,16,10,20
나주시,금남동,계,3308,1899,1490,171,57,61,50
나주시,금남동,관내사전투표,1013,1013,830,67,33,31,20
나주시,금남동,선거일투표,2295,886,660,104,24,30,30
나주시,성북동,계,6569,3900,3081,365,130,139,84
나주시,성북동,관내사전투표,2260,2259,1858,161,76,77,40
나주시,성북동,선거일투표,4309,1641,1223,204,54,62,44
나주시,영산동,계,2291,1269,1012,102,26,31,33
나주시,영산동,관내사전투표,768,768,622,51,15,18,16
나주시,영산동,선거일투표,1523,501,390,51,11,13,17
나주시,이창동,계,2701,1481,1189,121,50,51,19
나주시,이창동,관내사전투표,875,874,734,47,27,29,7
나주시,이창동,선거일투표,1826,607,455,74,23,22,12
나주시,빛가람동,계,25793,13509,10133,2026,460,492,206
나주시,빛가람동,관내사전투표,5678,5678,4496,627,200,209,82
나주시,빛가람동,선거일투표,20115,7831,5637,1399,260,283,124
나주시,잘못 투입·구분된 투표지,,0,4,4,0,0,0,0
광양시,광양읍,계,37507,21177,16588,2701,514,510,419
광양시,광양읍,관내사전투표,8353,8352,6982,762,177,194,100
광양시,광양읍,선거일투표,29154,12825,9606,1939,337,316,319
광양시,봉강면,계,1614,1081,799,158,27,26,26
광양시,봉강면,관내사전투표,538,538,412,76,11,7,13
광양시,봉강면,선거일투표,1076,543,387,82,16,19,13
광양시,옥룡면,계,2307,1637,1243,234,27,24,32
광양시,옥룡면,관내사전투표,1041,1038,829,117,14,12,17
광양시,옥룡면,선거일투표,1266,599,414,117,13,12,15
광양시,옥곡면,계,3351,1940,1433,289,63,42,33
광양시,옥곡면,관내사전투표,1094,1094,850,110,34,24,15
광양시,옥곡면,선거일투표,2257,846,583,179,29,18,18
광양시,진상면,계,2041,1412,1063,180,42,37,18
광양시,진상면,관내사전투표,835,834,654,85,21,23,9
광양시,진상면,선거일투표,1206,578,409,95,21,14,9
광양시,진월면,계,2052,1430,1002,201,56,47,40
광양시,진월면,관내사전투표,668,668,481,72,29,20,20
광양시,진월면,선거일투표,1384,762,521,129,27,27,20
광양시,다압면,계,1335,891,614,144,35,26,27
광양시,다압면,관내사전투표,515,515,369,73,17,15,14
광양시,다압면,선거일투표,820,376,245,71,18,11,13
광양시,골약동,계,8352,5052,3533,1064,104,103,134
광양시,골약동,관내사전투표,2416,2416,1840,394,40,48,55
광양시,골약동,선거일투표,5936,2636,1693,670,64,55,79
광양시,중마동,계,42760,22505,16951,3546,594,466,530
광양시,중마동,관내사전투표,9199,9199,7460,1041,241,180,150
광양시,중마동,선거일투표,33561,13306,9491,2505,353,286,380
광양시,광영동,계,8181,4618,3349,746,123,109,136
광양시,광영동,관내사전투표,2386,2386,1854,300,65,47,50
광양시,광영동,선거일투표,5795,2232,1495,446,58,62,86
광양시,태인동,계,1182,768,581,90,26,19,14
광양시,태인동,관내사전투표,505,505,395,38,18,12,11
광양시,태인동,선거일투표,677,263,186,52,8,7,3
광양시,금호동,계,7530,4555,2898,1244,72,124,129
광양시,금호동,관내사전투표,2260,2260,1613,487,31,43,48
광양시,금호동,선거일투표,5270,2295,1285,757,41,81,81
광양시,잘못 투입·구분된 투표지,,0,7,4,1,0,1,0
담양군,담양읍,계,11057,7578,5904,773,194,279,148
담양군,담양읍,관내사전투표,4537,4536,3652,388,104,161,69
담양군,담양읍,선거일투표,6520,3042,2252,385,90,118,79
담양군,봉산면,계,2059,1450,1157,118,33,48,21
담양군,봉산면,관내사전투표,931,931,764,54,20,36,11
담양군,봉산면,선거일투표,1128,519,393,64,13,12,10
담양군,고서면,계,2388,1752,1380,191,39,45,27
담양군,고서면,관내사전투표,1222,1222,978,111,29,32,17
담양군,고서면,선거일투표,1166,530,402,80,10,13,10
담양군,가사문학면,계,904,664,515,66,17,17,14
담양군,가사문학면,관내사전투표,497,497,393,44,9,11,10
담양군,가사문학면,선거일투표,407,167,122,22,8,6,4
담양군,창평면,계,2783,2058,1614,176,52,69,30
담양군,창평면,관내사전투표,1410,1409,1115,100,28,51,24
담양군,창평면,선거일투표,1373,649,499,76,24,18,6
담양군,대덕면,계,1443,1018,786,67,45,53,19
담양군,대덕면,관내사전투표,644,644,508,38,30,30,8
담양군,대덕면,선거일투표,799,374,278,29,15,23,11
담양군,무정면,계,1861,1266,989,132,39,38,16
담양군,무정면,관내사전투표,763,763,612,62,23,23,7
담양군,무정면,선거일투표,1098,503,377,70,16,15,9
담양군,금성면,계,1961,1377,1039,133,56,43,17
담양군,금성면,관내사전투표,906,906,685,74,36,30,10
담양군,금성면,선거일투표,1055,471,354,59,20,13,7
담양군,용면,계,1439,1066,829,104,30,32,22
담양군,용면,관내사전투표,653,653,524,58,14,17,10
담양군,용면,선거일투표,786,413,305,46,16,15,12
담양군,월산면,계,1791,1309,991,123,45,58,26
담양군,월산면,관내사전투표,885,885,684,70,27,39,17
담양군,월산면,선거일투표,906,424,307,53,18,19,9
담양군,수북면,계,3819,2739,2147,235,91,136,34
담양군,수북면,관내사전투표,1674,1674,1353,127,43,71,15
담양군,수북면,선거일투표,2145,1065,794,108,48,65,19
담양군,대전면,계,3170,2125,1703,164,64,62,36
담양군,대전면,관내사전투표,1294,1292,1051,73,34,43,20
담양군,대전면,선거일투표,1876,833,652,91,30,19,16
담양군,잘못 투입·구분된 투표지,,0,5,4,0,0,0,0
